     0/199     2.49G    0.1187   0.02731   0.05596     0.202         5       640         0         0  0.006069 0.0009144   0.08223   0.02222   0.04398
     1/199     2.51G    0.1133   0.02666   0.05164    0.1916         3       640         0         0  0.007062  0.001645   0.07232   0.02215    0.0395
     2/199     2.51G    0.1001   0.02638   0.04454     0.171         6       640         0         0  0.009298  0.002314    0.0627   0.02236   0.03532
     3/199     2.51G   0.08234   0.02705   0.03814    0.1475         4       640         0         0   0.01628  0.003153   0.05492   0.02232   0.03018
     4/199     2.51G   0.07346   0.02511   0.03495    0.1335         3       640         0         0   0.02902  0.006889   0.04829   0.02212   0.02475
     5/199     2.51G   0.07402   0.02771   0.02932     0.131         5       640         0         0    0.0673   0.01542   0.04464   0.02181   0.02062
     6/199     2.51G   0.06604   0.02868   0.02395    0.1187         5       640         0         0    0.2436   0.07339   0.04676   0.02093   0.01626
     7/199     2.51G   0.06087   0.02596   0.01898    0.1058         8       640         0         0    0.3961    0.1123   0.04057   0.02034   0.01303
     8/199     2.51G   0.06422   0.02723   0.01804    0.1095         6       640    0.8351     0.202    0.5674    0.1953   0.03896   0.01919  0.009823
     9/199     2.51G   0.05748   0.02758   0.01358   0.09864         5       640    0.3991    0.7778     0.684    0.3083   0.03371   0.01803    0.0072
    10/199     2.51G   0.05815   0.02621   0.01135   0.09571         9       640     0.204    0.8889    0.6957    0.3503   0.03303   0.01658  0.005452
    11/199     2.51G   0.05468   0.02578  0.008745    0.0892         7       640    0.2322    0.9495    0.6365    0.1393    0.0339   0.01548  0.004583
    12/199     2.51G   0.05081   0.02185  0.007683   0.08034         6       640    0.2142    0.9596    0.8129    0.3337   0.02884   0.01426  0.003817
    13/199     2.51G   0.05022   0.02291  0.006418   0.07955         8       640    0.1859    0.9495    0.7631    0.4255   0.02997   0.01296  0.003284
    14/199     2.51G   0.05323   0.01871  0.006351   0.07829         3       640    0.3547    0.9596    0.8972    0.4526   0.02644   0.01206  0.003051
    15/199     2.51G   0.04829   0.01868  0.004934    0.0719         5       640    0.2931    0.9596    0.7302    0.1705   0.03508   0.01133  0.002772
    16/199     2.51G   0.05279   0.01906  0.004949   0.07679         4       640     0.149    0.9697    0.2366   0.08833   0.05365   0.01015  0.002457
    17/199     2.51G   0.06182   0.01876  0.004439   0.08502         5       640    0.3549    0.9697    0.8185    0.3015   0.03983  0.009988  0.002513
    18/199     2.51G   0.05852   0.01654  0.003692   0.07876         4       640    0.3042    0.9798    0.8063    0.3975   0.03937   0.01004  0.002472
    19/199     2.51G   0.05714   0.01804  0.004029   0.07921         7       640    0.2865    0.9596    0.7301    0.4398   0.03369  0.009836  0.002488
    20/199     2.51G   0.05335   0.01522  0.003664   0.07224         4       640    0.3853    0.9697    0.8494     0.331   0.03503  0.009376  0.002313
    21/199     2.51G   0.05305   0.01681  0.003597   0.07346         7       640    0.3383    0.9798      0.83    0.5444   0.03442  0.008966  0.002076
    22/199     2.51G   0.05574   0.01583  0.003309   0.07488         8       640    0.3319    0.9798    0.8039    0.3074   0.03502  0.008718  0.002095
    23/199     2.51G    0.0483   0.01571   0.00358    0.0676         7       640    0.3694    0.9798    0.8922    0.3821   0.03527  0.008458  0.002142
    24/199     2.51G   0.05404   0.01521  0.003872   0.07313         6       640     0.283    0.9798    0.8402    0.5126   0.03617  0.008119  0.002142
    25/199     2.51G   0.05146   0.01685  0.003384    0.0717         5       640    0.3329    0.9798    0.8165    0.5255   0.03285  0.008055  0.002091
    26/199     2.51G   0.04923    0.0133  0.002956   0.06548         4       640    0.3188    0.9798    0.7525     0.229   0.03202  0.007862  0.002188
    27/199     2.51G     0.051   0.01486  0.003532   0.06939         6       640      0.39    0.9899    0.8404    0.3046    0.0297  0.008025  0.002274
    28/199     2.51G    0.0535   0.01446   0.00322   0.07117         5       640    0.4635         1    0.8623    0.5653   0.03248  0.007509   0.00231
    29/199     2.51G   0.05256   0.01388  0.003784   0.07023        10       640    0.4294    0.9899     0.734    0.4793   0.03303  0.007584  0.002352
    30/199     2.51G   0.05426   0.01411  0.003682   0.07205         5       640    0.3452         1    0.7143    0.3469   0.03478  0.007197    0.0025
    31/199     2.51G   0.05407   0.01434  0.004141   0.07255         9       640    0.4796         1    0.7402     0.446   0.02918  0.007336  0.002402
    32/199     2.51G   0.05588    0.0133  0.003449   0.07263         9       640    0.4159         1    0.7916    0.4565   0.02988  0.007152  0.002383
    33/199     2.51G   0.04691    0.0135  0.003334   0.06374         5       640    0.4187         1    0.8284    0.3871   0.03502  0.006938  0.002292
    34/199     2.51G   0.04704   0.01402  0.003455   0.06451         7       640    0.3624         1    0.8224    0.5182   0.02963  0.006794  0.002297
    35/199     2.51G   0.04785   0.01264   0.00304   0.06353         4       640    0.3824         1    0.8319    0.3394   0.03585  0.006551  0.002132
    36/199     2.51G   0.05423   0.01269  0.002967   0.06988         7       640     0.516    0.9899    0.9623    0.5445   0.03178  0.006724   0.00239
